"ChEMBL ID";"Name";"Synonyms";"Type";"Max Phase";"Molecular Weight";"Targets";"Bioactivities";"AlogP";"Polar Surface Area";"HBA";"HBD";"#RO5 Violations";"#Rotatable Bonds";"Passes Ro3";"QED Weighted";"CX Acidic pKa";"CX Basic pKa";"CX LogP";"CX LogD";"Aromatic Rings";"Structure Type";"Inorganic Flag";"Heavy Atoms";"HBA (Lipinski)";"HBD (Lipinski)";"#RO5 Violations (Lipinski)";"Molecular Weight (Monoisotopic)";"Molecular Species";"Molecular Formula";"Smiles";"Inchi Key"
"CHEMBL2106633";"MAGNESIUM STEARATE";"DIBASIC MAGNESIUM STEARATE|MAGNESII STEARAS|MAGNESIUM PALMITOSTEARATE|MAGNESIUM STEARATE|MAGNESIUM STEARATE G";"Small molecule";"1";"591.26";"";"";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"MOL";"0";"None";"None";"None";"None";"590.5125";"None";"C36H70MgO4";"CCCCCCCCCCCCCCCCCC(=O)[O-].CCCCCCCCCCCCCCCCCC(=O)[O-].[Mg+2]";"HQKMJHAJHXVSDF-UHFFFAOYSA-L"
"CHEMBL2219773";"CUSTIRSEN SODIUM";"CUSTIRSEN SODIUM|ISIS 112989|ISIS-112989|OGX 011|OGX-011";"Oligonucleotide";"3";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"NONE";"0";"";"";"";"";"";"";"";"";""
"CHEMBL3989911";"VELDOREOTIDE";"COR-005|DG-3173|DG3173|PTR 3173|PTR-3173|SOMATOPRIM|VELDOREOTIDE";"Protein";"2";"1123.33";"";"";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"MOL";"0";"None";"None";"None";"None";"1122.5651";"None";"C60H74N12O10";"CC(O)[C@@H]1NC(=O)[C@H](CCCCN)NC(=O)[C@@H](Cc2c[nH]c3ccccc23)NC(=O)[C@H](Cc2c[nH]c3ccccc23)NC(=O)[C@H](Cc2ccccc2)NC(=O)CCCNC(=O)CCCN(CC(N)=O)C(=O)[C@H](Cc2ccccc2)NC1=O";"ABFNTRQPWNXUHA-NNIYEDDKSA-N"
"CHEMBL1201064";"FLUOROMETHOLONE ACETATE";"FLUOROMETHOLONE 17-ACETATE|FLUOROMETHOLONE ACETATE|Flarex|NSC-47438|U-17,323|U-17323";"Small molecule";"4";"418.51";"56";"58";"3.49";"80.67";"5";"1";"0";"2";"N";"0.69";"13.64";"None";"2.86";"2.86";"0";"MOL";"0";"30";"5";"1";"0";"418.2156";"NEUTRAL";"C24H31FO5";"CC(=O)O[C@]1(C(C)=O)CC[C@H]2[C@@H]3C[C@H](C)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C";"YRFXGQHBPBMFHW-SBTZIJSASA-N"
"CHEMBL1200418";"DOBUTAMINE HYDROCHLORIDE";"46236|DL-DOBUTAMINE HYDROCHLORIDE|DOBUTAMINE HCL|DOBUTAMINE HYDROCHLORIDE|Dobutrex|NSC-299583|POSIJECT";"Small molecule";"4";"337.85";"26";"56";"2.96";"72.72";"4";"4";"0";"7";"N";"0.59";"10.14";"9.27";"2.62";"1.16";"2";"MOL";"0";"22";"4";"4";"0";"301.1678";"BASE";"C18H24ClNO3";"CC(CCc1ccc(O)cc1)NCCc1ccc(O)c(O)c1.Cl";"BQKADKWNRWCIJL-UHFFFAOYSA-N"
"CHEMBL4650234";"AVOPLACEL";"AVOPLACEL|AVOPLACEL {USAN]|PLX-R18";"Cell";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"NONE";"0";"";"";"";"";"";"";"";"";""
"CHEMBL4650397";"GV-971";"GV-971|HS971|OLIGOMANNURARATE(971)";"Unknown";"3";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"NONE";"0";"";"";"";"";"";"";"";"";""
"CHEMBL2110367";"TRIMETHOPRIM SULFATE";"BW 72U|BW-72U|TRIMETHOPRIM SULFATE|TRIMETHOPRIM SULPHATE";"Small molecule";"4";"678.73";"";"";"1.26";"105.51";"7";"2";"0";"5";"N";"0.85";"None";"7.16";"1.28";"1.10";"2";"MOL";"0";"21";"7";"4";"0";"290.1379";"NEUTRAL";"C28H38N8O10S";"COc1cc(Cc2cnc(N)nc2N)cc(OC)c1OC.COc1cc(Cc2cnc(N)nc2N)cc(OC)c1OC.O=S(=O)(O)O";"UILMMYFRNCCPLK-UHFFFAOYSA-N"
"CHEMBL3989618";"GLUCOSAMINE SULFATE POTASSIUM CHLORIDE";"GLUCOSAMINE SULFATE POTASSIUM CHLORIDE";"Small molecule";"2";"605.53";"";"";"-3.25";"116.17";"6";"5";"0";"1";"N";"0.29";"11.73";"8.23";"-3.04";"-3.93";"0";"MOL";"0";"12";"6";"6";"1";"179.0794";"NEUTRAL";"C12H28Cl2K2N2O14S";"N[C@H]1C(O)O[C@H](CO)[C@@H](O)[C@@H]1O.N[C@H]1C(O)O[C@H](CO)[C@@H](O)[C@@H]1O.O=S(=O)(O)O.[Cl-].[Cl-].[K+].[K+]";"ZFWBIDWLGKGBFH-GFJAXXHFSA-L"
"CHEMBL4650369";"ABELACIMAB";"ABELACIMAB";"Antibody";"2";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"NONE";"0";"";"";"";"";"";"";"";"";""
"CHEMBL4650374";"APG-2575";"APG-2575|APG2575|LISAFTOCLAX";"Unknown";"2";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"NONE";"0";"";"";"";"";"";"";"";"";""
"CHEMBL1908904";"FBA-A20FMDV2";"";"Protein";"1";"2284.63";"";"";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"MOL";"0";"None";"None";"None";"None";"2283.2612";"None";"C100H167FN32O28";"CC(C)C[C@H](NC(=O)[C@H](CC(=O)O)NC(=O)CNC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CC(N)=O)NC(=O)[C@@H]1CCCN1C(=O)[C@@H](NC(=O)[C@H](C)NC(=O)[C@H](CC(N)=O)NC(=O)c1ccc(F)cc1)C(C)C)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@H](C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](C)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CCCCN)C(=O)N[C@H](C(=O)N[C@@H](C)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@H](C(N)=O)[C@@H](C)O)C(C)C)C(C)C";"LXFYUKLDFCXXMA-ZIKCCIOVSA-N"
"CHEMBL3989568";"OXYTETRACYCLINE CALCIUM";"CALCIUM DIOXYTETRACYCLINE|OXYTETRACYCLINE CALCIUM|OXYTETRACYCLINE HEMICALCIUM|Terramycin";"Small molecule";"4";"958.94";"";"";"-1.24";"201.85";"10";"7";"1";"2";"N";"0.26";"2.84";"7.38";"-4.50";"-4.82";"1";"MOL";"0";"33";"11";"8";"2";"460.1482";"ACID";"C44H46CaN4O18";"CN(C)[C@@H]1C([O-])=C(C(N)=O)C(=O)[C@@]2(O)C(O)=C3C(=O)c4c(O)cccc4[C@@](C)(O)[C@H]3[C@H](O)[C@@H]12.CN(C)[C@@H]1C([O-])=C(C(N)=O)C(=O)[C@@]2(O)C(O)=C3C(=O)c4c(O)cccc4[C@@](C)(O)[C@H]3[C@H](O)[C@@H]12.[Ca+2]";"KIPLYOUQVMMOHB-MXWBXKMOSA-L"
"CHEMBL3545211";"SR16234";"";"Small molecule";"2";"505.74";"";"";"7.43";"41.93";"4";"1";"2";"9";"N";"0.38";"10.34";"9.03";"7.18";"5.73";"2";"MOL";"0";"37";"4";"1";"2";"505.3556";"BASE";"C33H47NO3";"CCN(CC)Cc1ccc(OCC[C@H]2CCC3C4C(CC[C@@]32C)c2ccc(O)cc2C[C@H]4C)c(OC)c1";"OHCPNHFLPCVWRG-YQOGLFJVSA-N"
"CHEMBL3707310";"LOTILANER";"CREDELIO|LOTILANER|LOTILANER (EMA EPAR: VETERINARY)";"Small molecule";"3";"596.76";"";"";"6.01";"79.79";"5";"2";"2";"6";"N";"0.32";"11.15";"0.03";"5.81";"5.81";"2";"MOL";"0";"36";"6";"2";"2";"594.9726";"NEUTRAL";"C20H14Cl3F6N3O3S";"Cc1cc(C2=NO[C@@](c3cc(Cl)c(Cl)c(Cl)c3)(C(F)(F)F)C2)sc1C(=O)NCC(=O)NCC(F)(F)F";"HDKWFBCPLKNOCK-SFHVURJKSA-N"
"CHEMBL3544937";"ZD-4190";"ZD-4190";"Small molecule";"1";"495.74";"";"";"3.95";"86.98";"8";"1";"0";"7";"N";"0.45";"None";"4.47";"3.90";"3.90";"4";"MOL";"0";"29";"8";"1";"0";"458.0502";"NEUTRAL";"C19H17BrClFN6O2";"COc1cc2c(Nc3ccc(Br)cc3F)ncnc2cc1OCCn1ccnn1.Cl";"IOFHDGSCWJNVRZ-UHFFFAOYSA-N"
"CHEMBL3545165";"AFACIFENACIN";"AFACIFENACIN|Afacifenacin|NS-986|SMP-986";"Small molecule";"2";"481.52";"";"";"6.19";"44.81";"3";"1";"1";"5";"N";"0.47";"12.78";"7.95";"6.04";"5.38";"3";"MOL";"0";"35";"5";"1";"1";"481.1977";"NEUTRAL";"C27H26F3N3O2";"O=C1Nc2ccccc2C(c2ccccc2)N1C1CCN(Cc2cccc(OC(F)(F)F)c2)CC1";"IJUMFEAYOMCXAQ-UHFFFAOYSA-N"
"CHEMBL4297479";"NESOLICAFTOR";"NESOLICAFTOR|NESOLICITOR|PTI-428";"Small molecule";"2";"354.37";"";"";"2.45";"114.28";"7";"2";"0";"5";"N";"0.72";"11.85";"None";"0.67";"0.67";"3";"MOL";"0";"26";"8";"2";"0";"354.1328";"NEUTRAL";"C18H18N4O4";"C[C@@H](O)c1nnc([C@H]2C[C@H](NC(=O)c3cc(-c4ccccc4)no3)C2)o1";"XPEHHUISIBFLHX-RAIGVLPGSA-N"
"CHEMBL3087515";"MAVOGLURANT";"AFQ-056|AFQ056|MAVOGLURANT|Mavoglurant";"Small molecule";"2";"313.40";"7";"14";"2.72";"49.77";"3";"1";"0";"0";"N";"0.75";"12.87";"None";"3.02";"3.02";"1";"MOL";"0";"23";"4";"1";"0";"313.1678";"NEUTRAL";"C19H23NO3";"COC(=O)N1CC[C@@H]2[C@H]1CCC[C@@]2(O)C#Cc1cccc(C)c1";"ZFPZEYHRWGMJCV-ZHALLVOQSA-N"
"CHEMBL3990032";"TELISOTUZUMAB VEDOTIN";"ABBV 399|ABBV-399|ABT-399|ABT-700-VCMMAE|PR-1420682|TELISOTUZUMAB VEDOTIN";"Antibody";"3";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"SEQ";"0";"";"";"";"";"";"";"";"";""
"CHEMBL4297756";"FREMANEZUMAB";"Ajovy|FREMANEZUMAB|FREMANEZUMAB-VFRM|LBR-101|LBR101|PF-04472429|PF04472429|RN-307|RN307|TEV-48125|TEV48125";"Antibody";"4";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"SEQ";"0";"";"";"";"";"";"";"";"";""
"CHEMBL4297916";"BNC-105P";"BNC-105P|BNC105P";"Unknown";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"NONE";"0";"";"";"";"";"";"";"";"";""
"CHEMBL4297563";"PACMILIMAB";"CX 072|CX-072|CX-072 PROBODY|CX072|PACMILIMAB";"Antibody";"2";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"NONE";"0";"";"";"";"";"";"";"";"";""
"CHEMBL4297832";"SUTIMLIMAB";"BIVV-009|BIVV009|SUTIMLIMAB|TNT-009|TNT009";"Antibody";"3";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"NONE";"0";"";"";"";"";"";"";"";"";""
"CHEMBL4297746";"ENADENOTUCIREV";"ENADENOTUCIREV";"Unknown";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"NONE";"0";"";"";"";"";"";"";"";"";""
"CHEMBL4297881";"AMG-427";"AMG 427|AMG-427";"Unknown";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"NONE";"0";"";"";"";"";"";"";"";"";""
"CHEMBL4297901";"AZD-5312";"AZD 5312|AZD-5312|AZD5312|ISIS-ARRX|ISIS-AZ1RX";"Unknown";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"NONE";"0";"";"";"";"";"";"";"";"";""
"CHEMBL4297907";"TETULOMAB TETRAXETAN LU-177";"(SUP 177)LU-TETULOMAB|177LU-TETRAXETAN-TETULOMAB|177LU-TETULOMAB|BETALUTIN|TETULOMAB TETRAXETAN LU-177";"Antibody";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"NONE";"0";"";"";"";"";"";"";"";"";""
"CHEMBL4297934";"DIAPEP-277";"DIAPEP-277|DIAPEP277";"Unknown";"3";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"NONE";"0";"";"";"";"";"";"";"";"";""
"CHEMBL4297954";"FIBROBLAST GROWTH FACTOR-1";"ACIDIC FIBROBLAST GROWTH FACTOR|ENDOTHELIAL CELL GROWTH FACTOR|FGF-1|FIBROBLAST GROWTH FACTOR 1|FIBROBLAST GROWTH FACTOR-1|HBGF-1|HEPARIN-BINDING GROWTH FACTOR 1|HUMAN FIBROBLAST GROWTH FACTOR 1|HUMAN OLIGOPEPTIDE-13|NEXPURE BIO AFGF|RH-POLYPEPTIDE-11|SH-POLYPEPTIDE-11|VEXXON-AFGF";"Unknown";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"NONE";"0";"";"";"";"";"";"";"";"";""
"CHEMBL4297961";"GMA-161";"GMA-161|GMA161|HUMANIZED, AGLYCOSYL ANTIBODY, GMA161";"Unknown";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"NONE";"0";"";"";"";"";"";"";"";"";""
"CHEMBL1201609";"CORTICOTROPIN ZINC HYDROXIDE";"CORTICOTROPHIN ZINC HYDROXIDE|CORTICOTROPIN ZINC HYDROXIDE|CORTICOTROPIN-ZINC HYDROXIDE|CORTROPHIN-ZINC|Corticotropin-zinc hydroxide|Cortrophin Zinc ACTH";"Protein";"4";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"SEQ";"0";"";"";"";"";"";"";"";"";""
"CHEMBL4802165";"BEMARITUZUMAB";"BEMARITUZUMAB|FPA-144";"Antibody";"2";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"NONE";"0";"";"";"";"";"";"";"";"";""
"CHEMBL4802212";"FARLETUZUMAB ECTERIBULIN";"FARLETUZUMAB ECTERIBUL|FARLETUZUMAB ECTERIBULIN|MORAB-202|MORAb-202";"Antibody";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"SEQ";"0";"";"";"";"";"";"";"";"";""
"CHEMBL4297883";"IVUXOLIMAB";"ANTI-OX40 ANTIBODY PF-04518600|IVUXOLIMAB|PF-04518600|PF-8600|PF04518600";"Antibody";"2";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"NONE";"0";"";"";"";"";"";"";"";"";""
"CHEMBL3545419";"TELISOTUZUMAB";"ABT-700|TELISOTUZUMAB";"Antibody";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"NONE";"0";"";"";"";"";"";"";"";"";""
"CHEMBL3990020";"VADACABTAGENE LERALEUCEL";"JCAR-015|JCAR015|VADACABTAGENE LERALEUCEL";"Gene";"2";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"NONE";"0";"";"";"";"";"";"";"";"";""
"CHEMBL3990026";"ELAPEGADEMASE";"ELAPEGADEMASE|ELAPEGADEMASE-LVLR|EZN-2279|Revcovi";"Enzyme";"4";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"SEQ";"0";"";"";"";"";"";"";"";"";""
"CHEMBL3833320";"EPTINEZUMAB";"ALD-403|ALD403|EPTINEZUMAB|EPTINEZUMAB-JJMR|Vyepti";"Antibody";"4";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"NONE";"0";"";"";"";"";"";"";"";"";""
"CHEMBL3545377";"LY-2606368";"LY-2606368";"Small molecule";"2";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"NONE";"0";"";"";"";"";"";"";"";"";""
"CHEMBL4594583";"RECOMBINANT METHIONYL HUMAN BRAIN-DERIVED NEUROTROPHIC FACTOR";"OTO-413|OTO-413 (BDNF)|R-MET-HU-BDNF|RECOMBINANT METHIONYL HUMAN BDNF|RECOMBINANT METHIONYL HUMAN BRAIN-DERIVED NEUROTROPHIC FACTOR";"Unknown";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"NONE";"0";"";"";"";"";"";"";"";"";""
"CHEMBL4594464";"BGB-A425";"BGB-A425|SURZEBICLIMAB";"Unknown";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"NONE";"0";"";"";"";"";"";"";"";"";""
"CHEMBL3989872";"APIMOSTINEL";"APIMOSTINEL|NRX-1074";"Protein";"2";"503.60";"";"";"-1.36";"179.29";"7";"5";"1";"9";"N";"0.28";"12.01";"7.61";"-1.62";"-2.04";"1";"MOL";"0";"36";"11";"7";"3";"503.2744";"NEUTRAL";"C25H37N5O6";"C[C@@H](O)[C@H](N)C(=O)N1CCC[C@H]1C(=O)N1CCC[C@@]1(Cc1ccccc1)C(=O)N[C@H](C(N)=O)[C@@H](C)O";"DVBUEXCIEIAXPM-PJUQSVSOSA-N"
"CHEMBL4650325";"VEMIRCOPAN";"ACH-0145228|ACH-5228|VEMIRCOPAN";"Small molecule";"1";"602.49";"";"";"4.49";"122.97";"8";"1";"1";"6";"N";"0.25";"11.75";"2.24";"3.67";"3.67";"4";"MOL";"0";"40";"10";"1";"1";"601.1437";"NEUTRAL";"C29H28BrN7O3";"CC(=O)c1nn(CC(=O)N2[C@H](C(=O)Nc3nc(Br)ccc3C)C[C@@]3(C)C[C@@H]23)c2ccc(-c3cnc(C)nc3)cc12";"OCXAGXCMZACNEC-CTWZREHQSA-N"
"CHEMBL4297595";"LISAVANBULIN";"BAL 101553|BAL-101553|BAL101553|LISAVANBULIN|MICROTUBULE-TARGETED AGENT BAL101553";"Small molecule";"1";"515.58";"";"";"2.69";"190.77";"11";"4";"2";"13";"N";"0.15";"12.85";"10.20";"1.31";"-2.06";"4";"MOL";"0";"38";"12";"6";"3";"515.2393";"BASE";"C26H29N9O3";"N#CCCNc1nonc1-c1nc2ccccc2n1CC(=O)c1ccc(NC(=O)[C@@H](N)CCCCN)cc1";"NIPZLALJRAHABJ-IBGZPJMESA-N"
"CHEMBL4297066";"ELIGLUSTAT TARTRATE";"CERDELGA|ELIGLUSTAT HEMITARTRATE|ELIGLUSTAT TARTRATE|GENZ 112638|GENZ-112638";"Small molecule";"4";"959.19";"";"";"3.43";"71.03";"5";"2";"0";"11";"N";"0.55";"13.51";"8.17";"3.21";"2.37";"1";"MOL";"0";"29";"6";"2";"0";"404.2675";"NEUTRAL";"C50H78N4O14";"CCCCCCCC(=O)N[C@H](CN1CCCC1)[C@H](O)c1ccc2c(c1)OCCO2.CCCCCCCC(=O)N[C@H](CN1CCCC1)[C@H](O)c1ccc2c(c1)OCCO2.O=C(O)C(O)C(O)C(=O)O";"KUBARPMUNHKBIQ-ZBPSDVLKSA-N"
"CHEMBL3707246";"OZANIMOD HYDROCHLORIDE";"OZANIMOD HYDROCHLORIDE|RPC-1063 HCL|RPC1063 HCL|ZEPOSIA";"Small molecule";"4";"440.93";"";"";"3.63";"104.20";"7";"2";"0";"7";"N";"0.62";"None";"8.96";"3.96";"2.39";"3";"MOL";"0";"30";"7";"2";"0";"404.1848";"BASE";"C23H25ClN4O3";"CC(C)Oc1ccc(-c2nc(-c3cccc4c3CC[C@@H]4NCCO)no2)cc1C#N.Cl";"HAOOCAKHSFYDBU-BDQAORGHSA-N"
"CHEMBL3833362";"ZINC OLEATE";"ZINC OLEATE";"Small molecule";"4";"628.31";"";"";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"MOL";"0";"None";"None";"None";"None";"626.4253";"None";"C36H66O4Zn";"CCCCCCCC/C=C\CCCCCCCC(=O)[O-].CCCCCCCC/C=C\CCCCCCCC(=O)[O-].[Zn+2]";"LPEBYPDZMWMCLZ-CVBJKYQLSA-L"
"CHEMBL4297493";"GSK-232802";"GSK-232802|GSK232802";"Small molecule";"2";"364.49";"";"";"6.13";"57.53";"2";"2";"1";"3";"N";"0.69";"4.06";"None";"6.17";"3.04";"2";"MOL";"0";"27";"3";"2";"1";"364.2038";"ACID";"C24H28O3";"CC1(C)CC(=C(c2ccc(O)cc2)c2ccc(C(=O)O)cc2)CC(C)(C)C1";"KNQLNDPHLXIOCY-UHFFFAOYSA-N"
"CHEMBL1200341";"INDECAINIDE HYDROCHLORIDE";"Decabid|INDECAINIDE HCL|INDECAINIDE HYDROCHLORIDE|LY 135837|LY-135837|LY-135857|RICAINIDE";"Small molecule";"4";"344.89";"";"";"3.22";"55.12";"2";"2";"0";"6";"N";"0.81";"None";"10.40";"3.26";"0.46";"2";"MOL";"0";"23";"3";"3";"0";"308.1889";"BASE";"C20H25ClN2O";"CC(C)NCCCC1(C(N)=O)c2ccccc2-c2ccccc21.Cl";"NXNSCUZKMVYAJQ-UHFFFAOYSA-N"
"CHEMBL3989507";"EDETATE DISODIUM";"CHELEST F-NA|DINATRII EDETAS|DISODIUM EDETATE|DISODIUM EDTA|DISODIUM EDTA DIHYDRATE|E-386|EDETATE DISODIUM|EDTA DISODIUM|ETHYLENEDIAMINETETRAACETATE|ETHYLENEDINITRILOTETRAACETATE DISODIUM|Endrate|INS NO.386|INS-386|SODIUM EDETATE|SODIUM VERSENATE|TITRIPLEX III";"Small molecule";"4";"372.24";"";"";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"MOL";"0";"None";"None";"None";"None";"336.0546";"None";"C10H18N2Na2O10";"O.O.O=C([O-])CN(CCN(CC(=O)[O-])CC(=O)O)CC(=O)O.[Na+].[Na+]";"OVBJJZOQPCKUOR-UHFFFAOYSA-L"
"CHEMBL2107168";"POTASSIUM SODIUM TARTRATE";"CO EFF PDR|E-337|INS NO.337|INS-337|POTASSIUM SODIUM DEXTRO-TARTRATE|POTASSIUM SODIUM TARTRATE|ROCHELLE SALT|SEIGNETTE SALT|SODIUM POTASSIUM TARTRATE";"Small molecule";"4";"282.22";"";"";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"MOL";"0";"None";"None";"None";"None";"209.9543";"None";"C4H12KNaO10";"O.O.O.O.O=C([O-])[C@H](O)[C@@H](O)C(=O)[O-].[K+].[Na+]";"VZOPRCCTKLAGPN-ZFJVMAEJSA-L"
"CHEMBL1201735";"BUPROPION HYDROBROMIDE";"APLENZIN|BUPROPION HBR|BUPROPION HYDROBROMIDE|BVF-033";"Small molecule";"4";"320.66";"";"";"3.30";"29.10";"2";"1";"0";"3";"N";"0.82";"None";"8.22";"3.27";"2.39";"1";"MOL";"0";"16";"2";"1";"0";"239.1077";"NEUTRAL";"C13H19BrClNO";"Br.CC(NC(C)(C)C)C(=O)c1cccc(Cl)c1";"WSTCENNATOVXKQ-UHFFFAOYSA-N"
"CHEMBL2364629";"RIMEGEPANT SULFATE";"NURTEC ODT|RIMEGEPANT SULFATE";"Small molecule";"4";"1221.26";"";"";"4.49";"119.13";"7";"2";"1";"3";"N";"0.37";"10.70";"8.95";"2.95";"1.51";"4";"MOL";"0";"39";"9";"3";"1";"534.2191";"BASE";"C56H64F4N12O13S";"N[C@@H]1c2cccnc2[C@H](OC(=O)N2CCC(n3c(=O)[nH]c4ncccc43)CC2)CC[C@H]1c1cccc(F)c1F.N[C@@H]1c2cccnc2[C@H](OC(=O)N2CCC(n3c(=O)[nH]c4ncccc43)CC2)CC[C@H]1c1cccc(F)c1F.O.O.O.O=S(=O)(O)O";"SOGUOEZRYKUOHR-CQZKMDJHSA-N"
"CHEMBL2105638";"DELAFLOXACIN MEGLUMINE";"ABT-492|BAXDELA|DELAFLOXACIN MEGLUMINE|RX-3341|RX-3341 MEGLUMINE|WQ-3034|WQ-3034 AND ABT-492|WQ-3034 MEGLUMINE";"Small molecule";"4";"635.98";"";"";"1.92";"121.68";"7";"3";"0";"3";"N";"0.57";"5.43";"None";"2.56";"0.59";"3";"MOL";"0";"30";"8";"4";"0";"440.0499";"ACID";"C25H29ClF3N5O9";"CNC[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO.Nc1nc(-n2cc(C(=O)O)c(=O)c3cc(F)c(N4CC(O)C4)c(Cl)c32)c(F)cc1F";"AHJGUEMIZPMAMR-WZTVWXICSA-N"
"CHEMBL3989819";"NAXIFYLLINE";"BG-9719|BG9719|CVT-124|NAXIFYLLINE|Naxifylline";"Small molecule";"2";"344.42";"";"";"1.60";"85.21";"6";"1";"0";"5";"N";"0.83";"8.53";"2.57";"1.71";"1.68";"2";"MOL";"0";"25";"7";"1";"0";"344.1848";"NEUTRAL";"C18H24N4O3";"CCCn1c(=O)c2nc([C@H]3C[C@H]4C[C@@H]3[C@@H]3O[C@H]43)[nH]c2n(CCC)c1=O";"OQCJPFYWFGUHIN-GJKBLCTNSA-N"
"CHEMBL1201275";"ISOSULFAN BLUE";"";"Small molecule";"4";"544.70";"";"";"4.10";"117.82";"6";"1";"1";"9";"N";"0.37";"-2.51";"5.33";"2.05";"0.79";"2";"MOL";"0";"37";"8";"1";"1";"544.1702";"ACID";"C27H32N2O6S2";"CCN(CC)c1ccc(C(=C2C=CC(=[N+](CC)CC)C=C2)c2cc(S(=O)(=O)[O-])ccc2S(=O)(=O)O)cc1";"YFKDCGWIINMRQY-UHFFFAOYSA-N"
"CHEMBL4297596";"FULACIMSTAT";"BAY-1142524|BAY1142524|FULACIMSTAT";"Small molecule";"2";"487.39";"";"";"2.70";"116.44";"8";"1";"0";"3";"N";"0.48";"2.85";"None";"3.21";"-0.28";"4";"MOL";"0";"35";"9";"1";"0";"487.0991";"ACID";"C23H16F3N3O6";"Cn1c(=O)oc2cc(-n3cc(C(=O)O)c(=O)n([C@@H]4CCc5c4cccc5C(F)(F)F)c3=O)ccc21";"JDARDSVOVYVQST-MRXNPFEDSA-N"
"CHEMBL4802150";"NAVOCAFTOR";"ABBV-3067|GLPG-3067|GLPG3067|NAVOCAFTOR";"Small molecule";"2";"416.34";"";"";"1.94";"141.43";"9";"2";"0";"5";"N";"0.64";"12.90";"None";"1.01";"1.01";"3";"MOL";"0";"28";"9";"3";"0";"416.0402";"NEUTRAL";"C15H11F3N4O5S";"Nc1cc(S(=O)(=O)c2ccc(OC(F)(F)F)cc2)cnc1-c1nnc(CO)o1";"WOXOLLSAICIZNO-UHFFFAOYSA-N"
"CHEMBL3707248";"VALBENAZINE TOSYLATE";"INGREZZA|NBI-98854|VALBENAZINE DITOSYLATE|VALBENAZINE TOSILATE|VALBENAZINE TOSYLATE";"Small molecule";"4";"762.99";"";"";"3.56";"74.02";"6";"1";"0";"7";"N";"0.68";"None";"8.41";"3.65";"2.30";"1";"MOL";"0";"30";"6";"2";"0";"418.2832";"NEUTRAL";"C38H54N2O10S2";"COc1cc2c(cc1OC)[C@H]1C[C@@H](OC(=O)[C@@H](N)C(C)C)[C@H](CC(C)C)CN1CC2.Cc1ccc(S(=O)(=O)O)cc1.Cc1ccc(S(=O)(=O)O)cc1";"BXGKAGLZHGYAMW-TZYFFPFWSA-N"
